rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
DN_0019,2,data/image_pipeline/downloaded/optimized/DN_0019/DN_0019_01.webp,data/image_pipeline/downloaded/optimized/DN_0019/DN_0019_01.webp|data/image_pipeline/downloaded/optimized/DN_0019/DN_0019_02.webp,149290
DN_0028,1,data/image_pipeline/downloaded/optimized/DN_0028/DN_0028_01.webp,data/image_pipeline/downloaded/optimized/DN_0028/DN_0028_01.webp,128880
DN_0053,4,data/image_pipeline/downloaded/optimized/DN_0053/DN_0053_01.webp,data/image_pipeline/downloaded/optimized/DN_0053/DN_0053_01.webp|data/image_pipeline/downloaded/optimized/DN_0053/DN_0053_02.webp|data/image_pipeline/downloaded/optimized/DN_0053/DN_0053_03.webp|data/image_pipeline/downloaded/optimized/DN_0053/DN_0053_04.webp,313790
DNO_0001,5,data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_01.webp,data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_01.webp|data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_02.webp|data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_03.webp|data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_04.webp|data/image_pipeline/downloaded/optimized/DNO_0001/DNO_0001_05.webp,570680
ha-noi_chua-tran-quoc,2,data/image_pipeline/downloaded/optimized/ha-noi_chua-tran-quoc/ha-noi_chua-tran-quoc_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_chua-tran-quoc/ha-noi_chua-tran-quoc_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_chua-tran-quoc/ha-noi_chua-tran-quoc_02.webp,347146
ha-noi_ho-hoan-kiem,4,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_02.webp|data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_03.webp|data/image_pipeline/downloaded/optimized/ha-noi_ho-hoan-kiem/ha-noi_ho-hoan-kiem_04.webp,365140
ha-noi_hoang-thanh-thang-long,2,data/image_pipeline/downloaded/optimized/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_hoang-thanh-thang-long/ha-noi_hoang-thanh-thang-long_02.webp,294062
ha-noi_lang-chu-tich-ho-chi-minh,4,data/image_pipeline/downloaded/optimized/ha-noi_lang-chu-tich-ho-chi-minh/ha-noi_lang-chu-tich-ho-chi-minh_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_lang-chu-tich-ho-chi-minh/ha-noi_lang-chu-tich-ho-chi-minh_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_lang-chu-tich-ho-chi-minh/ha-noi_lang-chu-tich-ho-chi-minh_02.webp|data/image_pipeline/downloaded/optimized/ha-noi_lang-chu-tich-ho-chi-minh/ha-noi_lang-chu-tich-ho-chi-minh_03.webp|data/image_pipeline/downloaded/optimized/ha-noi_lang-chu-tich-ho-chi-minh/ha-noi_lang-chu-tich-ho-chi-minh_04.webp,458202
ha-noi_pho-co-ha-noi,4,data/image_pipeline/downloaded/optimized/ha-noi_pho-co-ha-noi/ha-noi_pho-co-ha-noi_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_pho-co-ha-noi/ha-noi_pho-co-ha-noi_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_pho-co-ha-noi/ha-noi_pho-co-ha-noi_02.webp|data/image_pipeline/downloaded/optimized/ha-noi_pho-co-ha-noi/ha-noi_pho-co-ha-noi_03.webp|data/image_pipeline/downloaded/optimized/ha-noi_pho-co-ha-noi/ha-noi_pho-co-ha-noi_04.webp,635018
ha-noi_van-mieu-quoc-tu-giam,4,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_01.webp,data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_01.webp|data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_02.webp|data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_03.webp|data/image_pipeline/downloaded/optimized/ha-noi_van-mieu-quoc-tu-giam/ha-noi_van-mieu-quoc-tu-giam_04.webp,434320
